reference,value,manufacturer_part_number,stocked_alternative,inventory_match,inventory_sheet_row,historical_quantity,footprint,purpose,datasheet
R10,1M / 0.1%,RG2012P-105-B-T5,,Exact MPN,120,50,Devboard:R_0805_2012Metric,"RG2012P-105-B-T5; 0805, 150V limiting element voltage, 0.125W",
R11,1M / 0.1%,RG2012P-105-B-T5,,Exact MPN,120,50,Devboard:R_0805_2012Metric,"RG2012P-105-B-T5; 0805, 150V limiting element voltage, 0.125W",
R12,1M / 0.1%,RG2012P-105-B-T5,,Exact MPN,120,50,Devboard:R_0805_2012Metric,"RG2012P-105-B-T5; 0805, 150V limiting element voltage, 0.125W",
R13,15k / 0.1%,RG2012P-153-B-T5,,Exact MPN,124,50,Devboard:R_0805_2012Metric,RG2012P-153-B-T5; divider factor 201; input 0.8443Vpk at 120Vac,
U5,AMC3330DWER,AMC3330DWER,AMC3330QDWERQ1,Compatible automotive variant; see README,92,10,Devboard:SOIC-16W_7.5x10.3mm_P1.27mm,Integrated isolated DC/DC; fixed differential gain 2; stocked AMC3330QDWERQ1 is an assembly alternative,https://www.ti.com/lit/ds/symlink/amc3330.pdf
C5,1n / 50V,C0805C102K5HACAUTO,,Exact MPN,14,120,Devboard:C_0805_2012Metric,DCDC_OUT pin1 / DCDC_HGND pin2 HF bypass,
C6,1u / 50V,CL21B105KBFNNNE,,Exact MPN,15,100,Devboard:C_0805_2012Metric,DCDC_OUT bulk; 1u effective target,
C19,100n / 25V,CL21B104KACNNNC,,Exact MPN,17,200,Devboard:C_0805_2012Metric,HLDO_IN local bypass at pin3; no ferrite beads fitted,
C7,1n / 50V,C0805C102K5HACAUTO,,Exact MPN,14,120,Devboard:C_0805_2012Metric,HLDO_OUT HF bypass,
C8,100n / 25V,CL21B104KACNNNC,,Exact MPN,17,200,Devboard:C_0805_2012Metric,HLDO_OUT bypass; no external load,
C11,1n / 50V,C0805C102K5HACAUTO,,Exact MPN,14,120,Devboard:C_0805_2012Metric,VDD HF bypass,
C12,1u / 50V,CL21B105KBFNNNE,,Exact MPN,15,100,Devboard:C_0805_2012Metric,VDD bulk; 1u effective target,
C13,100n / 25V,CL21B104KACNNNC,,Exact MPN,17,200,Devboard:C_0805_2012Metric,DCDC_IN pin16 to DCDC_GND pin15; no external load,
C14,1n / 50V,C0805C102K5HACAUTO,,Exact MPN,14,120,Devboard:C_0805_2012Metric,Input filter: approximately 10.7kHz; return at AMC INN,
R14,10k / 0.1%,RN73H2ATTD1002B25,,Exact MPN,121,50,Devboard:R_0805_2012Metric,Active-low open-drain diagnostic pullup; LOW means invalid measurement,
